title,review,star
Get rid of thickened liquids!!,"The SafeStaw is almost a miracle. After a stroke my Mom had to learn how to swallow again. After working with many speech therapist and steady improvement, one therapist introduced us to the SafeStraw to allow Mom to get off of the dreaded ""thickened liquids"". Mom just did not like the taste or texture of thickened liquids. The SafeStraw allowed her to return to regular liquids, especially with her meals. Please reccomend this to your speech therapist. We found not that many have ever heard of it but when they encounter Mom using it they are very impressed and ask for information so they can learn more about it. I can highly reccomend this for your therapist to consider for your needs.",5.0 out of 5 stars
Nurses at our hospital came to see how this would work for their swallow patiences TRUE STORY,"My wife is swalling problems and we needed to restrict the amount of fluids she takes in at meals.We have about 5 SafeStraws, 2 for the house, one in our van for trips and eating out, and one in my wifes pack when she goes out with her care giver.TRUE STORYWe took it to the swallow nurse at the hospital and she was so impressed she had two other nurses come in and see it, the about 10 minutes later another nurse came in to see it.Well worth the investment to save someone from asperating while drinking fluids.",5.0 out of 5 stars
DO YOU WANT TO CHOKE?,"BOUGH THIS DEVICE FOR DYSPHAGIA, BUT MAKES ME CHOKE A LOT MORE THAN JUST DRINKING WITH A REGULAR STRAW. SO, I DO NOT RECOMMEND IT UNLESS YOU WANT TO GET ASPIRATION PNEUMONIA.",1.0 out of 5 stars
Worked great for a couple of weeks for my daughter with ...,"Worked great for a couple of weeks for my daughter with special needs that was aspirating on liquids while drinking.Now, no fluids will come they the straw at all.I didn't give this 5 stars at all! It just won't let me edit!Does someone have a clue why it won't work any longer?",5.0 out of 5 stars
Provides small sip to help with swallowing and or aspiratation,Great product! Follow directions and out works,5.0 out of 5 stars
Great invention!,Great idea!,5.0 out of 5 stars
Doesn’t work properly,Does not work. Can’t suck out if it.,1.0 out of 5 stars
Good product,Used this to help my granny with her newly discovered dysphasia. Works great at limiting her intake.All pieces are good quality. Would purchase again.,5.0 out of 5 stars
worked perfectly for my mother who would not use the ...,worked perfectly for my mother who would not use the thickened liquids. It forces her to look down to sip and doesnt allow her to sip too much.  It really worked to keep her from asperating,5.0 out of 5 stars
Five Stars,perfect,5.0 out of 5 stars
Worked well,Does not fit larger straws.,5.0 out of 5 stars
Worked good. Used a sonic straw for the top piecs,Worked good.  Used a sonic straw for the top piecs.,5.0 out of 5 stars
Use Instructions,The instructions on how to use this product were illegible.,4.0 out of 5 stars
Safe but limited,Works well for safety but you can only get a a small size sip of fluid.,4.0 out of 5 stars
It was useless.,The straw did not fit properly. It was useless.,1.0 out of 5 stars
Two Stars,It was too restricted for his liking.  Even less than a sip.,2.0 out of 5 stars
Good product,Excellent,5.0 out of 5 stars
Three Stars,"Purchased for my dad, still coughed and choked.",3.0 out of 5 stars
Two Stars,Doesn't work if one cannot control their sucking power,2.0 out of 5 stars
Five Stars,"I like it, for the safety of my mom, but she's not too fond of it lol",5.0 out of 5 stars
do not buy,does not work.,1.0 out of 5 stars
Great for urinary tract health!,Strongest dose of D Mannose available anywhere. Great for urinary tract health!,5.0 out of 5 stars
Don't waste your money!,"This item is completely worthless. It requires an incredible amount of suction to get anything out of it and the amount it releases is minuscule, too little to quench anyone's thirst, even for a person at risk of aspiration. Why bother drinking? To make matters worse, after such a tiny sip, you have to wait 1 to 3 minutes for the chamber to refill so you can take the next tiny sip. My guy just gave up on the beverage even though it was his favorite drink.As someone else mentioned, the parts are so tiny, I immediately dropped one into the sink drain trying to pull them apart (yuck!). I was happy to have found this as I thought it would be nice for him in restaurants and at parties and such to not have to haul around an adaptive cup but the cup is worth it if this is the alternative. And, of course the company will not accept returns or provide refunds for medical products (which this is considered) so no luck getting him a refund. :-(  So disappointed.",1.0 out of 5 stars
Good idea - doesn’t work well,So disappointed. We assembled this and got it working beautifully. It really helped limit the fluid volume to 5ml. It lasted about 2 days. Then it quit working. No amount of cleaning and reassembly helped. Sometimes the float will catch and control the fluid level. Sometimes it won’t catch and you get unrestricted volume. Sometimes it gets stuck and won’t allow any fluid. The. It got a crack in the side. Not worth it.,3.0 out of 5 stars
Works well,These work well for my mother with dysphagia. They do stain a bit though.,5.0 out of 5 stars
Very Safe for fluid amount intake.,"My father suffered a stroke in 2015. This came highly recommended for his swallowing issues the stroke left him with. Definitely very safe, considering your loved one has the patients to get use to it.",5.0 out of 5 stars
I recommend this product to aid in swallowing and aspiration prevention,"As a speech language pathologist working with numerous swallowing disorders, I recommend this product to aid in swallowing and aspiration prevention.",4.0 out of 5 stars
Speech therapist recommended.,"Certainly keeps me from getting a lot of liquid in mouth, which the speech therapist recommended. So it is doing what she wanted.",4.0 out of 5 stars
Worked to help with swallowing too much at one time.,It took me a couple of times to figure out how to use it but it did work unfortunately I have no reason to use it any longer.,4.0 out of 5 stars
Didn’t work for us,Could not get the product to work for myself and I have no trouble swallowing. My wife who has the problem could not get any liquid to go through them.,1.0 out of 5 stars
Great Drinking Aid,Bought these for my grandson and they work perfectly with his cups.  No issues love these! Highly Recommend!,5.0 out of 5 stars
CheP safe straw,Cheap no good,2.0 out of 5 stars
Very helpful,This is very helpful as it controls the amount of fluid that can go in mouth with each sip.,4.0 out of 5 stars
Five Stars,works well,5.0 out of 5 stars
Worse there is a lightly fitting rubber plug on the ...,Close to worthless. Does release a small amount of fluid but then promotes continued straining to get a little more. Requires that the user stop sipping and then wait for the barrel to refill. Worse there is a lightly fitting rubber plug on the bottom and a small plastic piston that regulates the process. Both come out for cleaning and are extremely easy to loose. Poor design.,1.0 out of 5 stars
This is an amazing product for people that have dysphagia or swallowing issues!,"This product has been a dysphagia lifesaver!  I came back to order more so we can have more than 1 drink availalable at one time (i.e. coffee and water).  We have an elderly parent with advanced Parkinson disease and serious swallowing issues.  He has been told ""no straws"" by the speech therapist after several bouts of aspirational pneumonia and failed barium swallowing studies. He has major motor skill issues and couldn't use his straw cups with lids so he was spilling constantly!  He had practically stopped drinking fluids out of frustration by the time this arrived.  We have used it throughout the last few days and he has eagerly enjoyed it with hot coffee, iced tea, and water, with excellent results.  I am so thankful someone invented this!!  This product is not hard to keep clean.  It is a hard plastic stem with a steel valve that comes out, and a flexible silicone stopper on the bottom, it is disassembled and washed in less than a minute. It seems to be made from very durable material. After assembly of the stem, you clip the bottom few inches off of a disposable straw (we like the bendy kind) and stick the straw on the stem.If could give this 10 stars I would.",5.0 out of 5 stars
Works well,This straw made life so much better for my patient. It gave him some independence back.,5.0 out of 5 stars
Super straw!,This is a great item and a godsend for my elderly mother in law. Used properly it virtually eliminate aspiration of liquids.,5.0 out of 5 stars
Easy to lose,Hard  to wash.  Easy to lose.,3.0 out of 5 stars
Waste of money!,These don't work well at all! I don't recommend them!,1.0 out of 5 stars
but they work great. I would definitely recommend them to anyone with ...,"Bought these for my sister who has a habit of swallowing too much  at one time.  Took a little getting used to, but they work great.  I would definitely recommend them to anyone with the same problem.  A little expensive, but worth it.",5.0 out of 5 stars
Not enough allowed,Ordered for my husband and after a few trials he refused to use it.  Only allowed about half a swallow so a regular straw was easier for one full swallow.,1.0 out of 5 stars
I recommend this product to anyone struggling with aspirating and swallowing,"As a speech language pathologist, I recommend this product to anyone struggling with aspirating and swallowing.",4.0 out of 5 stars
Easy to use,Does what I bought it for,5.0 out of 5 stars
One Star,The weight doesn't properly work right.,1.0 out of 5 stars
Top Quality...,Works Great....,5.0 out of 5 stars
One Star,I don't understand these straw holders. Don't really work well,1.0 out of 5 stars
Five Stars,Helpful,5.0 out of 5 stars
Three Stars,O.K.,3.0 out of 5 stars
